Validation_Set,Topics,Alpha,Beta,Coherence
100.0% Corpus,3,0.01,0.9099999999999999,0.3122271014859614
100.0% Corpus,3,0.01,symmetric,0.3130369793237287
100.0% Corpus,3,0.31,0.01,0.31546361683645063
100.0% Corpus,3,0.31,0.31,0.31152570538008245
100.0% Corpus,3,0.31,0.61,0.3161674956198379
100.0% Corpus,3,0.31,0.9099999999999999,0.31268204735363714
100.0% Corpus,3,0.31,symmetric,0.3042697433263333
100.0% Corpus,3,0.61,0.01,0.3142542338550977
100.0% Corpus,3,0.61,0.31,0.31081694034964885
100.0% Corpus,3,0.61,0.61,0.31613457231690134
100.0% Corpus,3,0.61,0.9099999999999999,0.31366349029659785
100.0% Corpus,3,0.61,symmetric,0.3171458758699645
100.0% Corpus,3,0.9099999999999999,0.01,0.31732448699229154
100.0% Corpus,3,0.9099999999999999,0.31,0.317084692364273
100.0% Corpus,3,0.9099999999999999,0.61,0.3166235146297978
100.0% Corpus,3,0.9099999999999999,0.9099999999999999,0.3145224862632994
100.0% Corpus,3,0.9099999999999999,symmetric,0.31364322584019194
100.0% Corpus,3,symmetric,0.01,0.3166666223587425
100.0% Corpus,3,symmetric,0.31,0.31102194776678155
100.0% Corpus,3,symmetric,0.61,0.3136461446188985
100.0% Corpus,3,symmetric,0.9099999999999999,0.3135926554960222
100.0% Corpus,3,symmetric,symmetric,0.31152570538008256
100.0% Corpus,3,asymmetric,0.01,0.30856384908226403
100.0% Corpus,3,asymmetric,0.31,0.31057387736437
100.0% Corpus,3,asymmetric,0.61,0.3090565051193313
100.0% Corpus,3,asymmetric,0.9099999999999999,0.311695933897068
100.0% Corpus,3,asymmetric,symmetric,0.31177741135979686
100.0% Corpus,4,0.01,0.01,0.3229562939794566
100.0% Corpus,4,0.01,0.31,0.32197943224654507
100.0% Corpus,4,0.01,0.61,0.314481046282518
100.0% Corpus,4,0.01,0.9099999999999999,0.3157724161402548
100.0% Corpus,4,0.01,symmetric,0.31740901095335566
100.0% Corpus,4,0.31,0.01,0.34232394343689143
100.0% Corpus,4,0.31,0.31,0.3270016082884531
100.0% Corpus,4,0.31,0.61,0.3301225268150838
100.0% Corpus,4,0.31,0.9099999999999999,0.31519978206942845
100.0% Corpus,4,0.31,symmetric,0.3234369207621283
100.0% Corpus,4,0.61,0.01,0.3136565487504982
100.0% Corpus,4,0.61,0.31,0.31097523118415527
100.0% Corpus,4,0.61,0.61,0.32481949352559497
100.0% Corpus,4,0.61,0.9099999999999999,0.3259577427496593
100.0% Corpus,4,0.61,symmetric,0.30792511683427093
100.0% Corpus,4,0.9099999999999999,0.01,0.3258895344691288
100.0% Corpus,4,0.9099999999999999,0.31,0.31430944354968327
100.0% Corpus,4,0.9099999999999999,0.61,0.32807490575944087
100.0% Corpus,4,0.9099999999999999,0.9099999999999999,0.3169998797261481
100.0% Corpus,4,0.9099999999999999,symmetric,0.3144562273702499
